Name,Team,Year,Innings,Position,Runs,Balls,Strike Rate,Against,Series,City,Host Nation,Team Score,MOTM,Win,Not Out,Captain
Sachin Tendulkar,India,2010,1,Open,200,147,136.0544218,South Africa,Bilateral,Gwalior,India,401/3,Yes,Yes,Yes,No
Virendra Sehwag,India,2011,1,Open,219,149,146.9798658,West Indies,Bilateral,Indore,India,418/5,Yes,Yes,No ,No
Rohit Sharma,India,2013,1,Open,209,158,132.278481,Australia,Bilateral,Bengaluru,India,383/6,Yes,Yes,No,No
Rohit Sharma,India,2014,1,Open,264,173,152.6011561,Sri Lanka,Bilateral,Kolkata,India,404/5,Yes,Yes,No,No
Chris Gayle,West Indies,2015,1,Open,215,147,146.2585034,Zimbabwe,World Cup,Canberra,Australia,372/2,Yes,Yes,No,No
Martin Guptill,New Zealand,2015,1,Open,237,163,145.398773,West Indies,World Cup,Wellington,New Zealand,393/6,Yes,Yes,Yes,No
Rohit Sharma,India,2017,1,Open,208,153,135.9477124,Sri Lanka,Bilateral,Mohali,India,392/4,Yes,Yes,No,No
Fakhar Zaman,Pakistan,2018,1,Open,210,156,134.6153846,Zimbabwe,Bilateral,Bulawayo,Zimbabwe,399/1,Yes,Yes,Yes,No
Ishan Kishan,India,2022,1,Open,210,131,160.3053435,Bangladesh,Bilateral,Chattogram,India,409/8,Yes,Yes,No,No
Shubman Gill,India,2023,1,Open,208,149,139.5973154,New Zealand,Bilateral,Hyderabad,India,349/8,Yes,Yes,No,No